sale_id,customer_id,customer_name,sale_date
1,419632ea-ce17-4b57-8187-719440f7a4e9,Dr. Kevin Jones,2023-06-11
2,385baf70-3cc5-402b-9b7b-886f9b632bb4,Anthony Clayton,2023-11-11
3,0a967991-dbbe-4e22-beac-166f8987eb21,Ronald Allen,2023-02-23
4,5bcb7300-ba60-412d-ae7f-b9de34dbb8d2,Aaron Kim,2023-06-17
5,ab8be525-cca6-4af1-8210-498e247d6de3,Rhonda Adams,2023-08-23
6,a88412da-5f3a-4ced-a8ef-66afbfad168f,Barbara Guerrero,2023-07-09
7,dcf18870-1cd7-4b9a-b914-51493f0b13a7,Cody Watts,2023-09-27
8,99917d9f-5378-41ed-975f-bafc15c3dc2f,Steve Hickman,2023-07-25
9,7fa60133-4ff1-43b0-8563-d0fcb3f79c6d,Jack Harris,2023-09-22
10,73032f04-c7f9-48b9-b0d0-833885e20155,Vincent Jones,2023-03-31
11,16ec2eb9-90ea-464a-a4cb-b446f62d8fde,Stephanie Miller,2023-03-09
12,6fec082e-5502-4865-9ba7-638670bfe809,John Wade,2023-09-05
13,9c4821a2-46fa-4acf-8468-c36682e2e6b6,Emily Avila,2023-05-08
14,5c2bf452-e0a3-4f4b-8040-07a2b958cbe9,Melanie Sims,2023-08-18
15,60999af6-a2cf-4e41-ab52-265d7ca6799f,Scott Haney,2023-02-05
16,b9ef319b-a316-4e52-be8e-666d22e04534,Jessica Edwards,2023-10-17
17,b14852ad-307c-40ca-9c3b-bd3f76543c62,Tyler Daniels,2023-04-05
18,194a476d-97c1-4121-89d6-ec4890a6f8fe,Dawn Rivera,2023-07-02
19,dbfc37d9-2d1d-48f4-809c-51bff2e8d2ba,Ricardo Castillo,2023-10-20
20,131a09d8-0540-42aa-9c8c-12ac1c2927b1,Erica Keith,2023-05-11
21,08d16e37-728a-439a-8469-8c56175530dc,Amanda Wheeler,2023-05-04
22,40faad0a-0262-46a1-ada5-2c5a68e99648,Kelly Mckay,2023-07-06
23,fe41389c-6aa6-4c77-85b0-e1d771a2cb62,James Hill,2023-10-08
24,0c846540-203f-448b-902d-50308d830695,Connie Patterson,2023-02-18
25,9ea27042-7159-45ba-bd1f-8dfd1aee26f4,Susan Edwards,2023-08-05
26,8efa3791-e056-4b53-96ef-7f0b4bbfcfc8,Jonathan Li,2023-06-04
27,b80ecd90-546d-46ca-b8da-506800439e06,Jason Rodriguez,2023-05-31
28,7333b711-9864-48e4-807b-558de5d4895b,Rebecca Clark,2023-07-11
29,bb2e6118-869c-42d0-8499-bf5b3106848f,Melissa Murphy,2023-02-14
30,aba03d12-3dce-47f2-b588-604facab80df,Erin White,2023-08-03
31,aa0f9a31-c28c-4725-a680-b97f381a13e4,Kathryn Burns,2023-01-10
32,3c6505bf-3ad2-4556-a96b-b62deb552504,Emma Sandoval,2023-03-03
33,c1aa6861-de80-44c4-8d35-aaf91d2a98f4,Scott Manning,2023-08-24
34,9e3a2950-b55b-4fa0-bc06-39d2adf3dafd,Kristy Hanson,2023-02-02
35,28d45af0-4c2b-45e2-9d82-bd058aebb2b1,Barbara Bates,2023-04-01
36,fd5fd587-ffcc-4e4f-8a52-5005ad4324f9,Andrew Barker Jr.,2023-07-22
37,0ea7fed2-d557-44a7-af8c-e65410678544,Anita Grant,2023-03-09
38,b48908ce-f7c0-4e95-abc3-017541bee74a,Kevin Jensen,2023-07-20
39,678cbd4e-c866-4640-b1d2-770f1983bbfa,Teresa King,2023-11-09
